Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P78316	NOP14_HUMAN	reviewed	Nucleolar protein 14 (Nucleolar complex protein 14)	NOP14 C4orf9 NOL14 RES4-25	Homo sapiens (Human)	857
Q9NQZ2	SAS10_HUMAN	reviewed	Something about silencing protein 10 (Charged amino acid-rich leucine zipper 1) (CRL1) (Disrupter of silencing SAS10) (UTP3 homolog)	UTP3 CRLZ1 SAS10	Homo sapiens (Human)	479
Q96E22	NGBR_HUMAN	reviewed	"Dehydrodolichyl diphosphate syntase complex subunit NUS1 (EC 2.5.1.87) (Di-trans,poly-cis-decaprenylcistransferase) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog)"	NUS1 C6orf68 NGBR	Homo sapiens (Human)	293
Q53GS7	GLE1_HUMAN	reviewed	Nucleoporin GLE1 (hGLE1) (GLE1-like protein)	GLE1 GLE1L	Homo sapiens (Human)	698
Q14691	PSF1_HUMAN	reviewed	DNA replication complex GINS protein PSF1 (GINS complex subunit 1)	GINS1 KIAA0186 PSF1	Homo sapiens (Human)	196
P06132	DCUP_HUMAN	reviewed	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	UROD	Homo sapiens (Human)	367
P61221	ABCE1_HUMAN	reviewed	ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40	Homo sapiens (Human)	599
Q6KC79	NIPBL_HUMAN	reviewed	Nipped-B-like protein (Delangin) (SCC2 homolog)	NIPBL IDN3	Homo sapiens (Human)	2804
Q53F39	MPPE1_HUMAN	reviewed	Metallophosphoesterase 1 (EC 3.1.-.-) (Post-GPI attachment to proteins factor 5)	MPPE1 PGAP5 PP579	Homo sapiens (Human)	396
Q8WVM8	SCFD1_HUMAN	reviewed	Sec1 family domain-containing protein 1 (SLY1 homolog) (Sly1p) (Syntaxin-binding protein 1-like 2)	SCFD1 C14orf163 KIAA0917 STXBP1L2 FKSG23	Homo sapiens (Human)	642
Q9Y265	RUVB1_HUMAN	reviewed	RuvB-like 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein) (49 kDa TBP-interacting protein) (54 kDa erythrocyte cytosolic protein) (ECP-54) (INO80 complex subunit H) (Nuclear matrix protein 238) (NMP 238) (Pontin 52) (TIP49a) (TIP60-associated protein 54-alpha) (TAP54-alpha)	RUVBL1 INO80H NMP238 TIP49 TIP49A	Homo sapiens (Human)	456
Q86UA1	PRP39_HUMAN	reviewed	Pre-mRNA-processing factor 39 (PRP39 homolog)	PRPF39	Homo sapiens (Human)	669
P53618	COPB_HUMAN	reviewed	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	COPB1 COPB MSTP026	Homo sapiens (Human)	953
Q9BUQ8	DDX23_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)	DDX23	Homo sapiens (Human)	820
Q9Y296	TPPC4_HUMAN	reviewed	Trafficking protein particle complex subunit 4 (Hematopoietic stem/progenitor cell protein 172) (Synbindin) (TRS23 homolog)	TRAPPC4 SBDN CGI-104 HSPC172 PTD009	Homo sapiens (Human)	219
Q9NY61	AATF_HUMAN	reviewed	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	AATF CHE1 DED HSPC277	Homo sapiens (Human)	560
Q9BPX3	CND3_HUMAN	reviewed	Condensin complex subunit 3 (Chromosome-associated protein G) (Condensin subunit CAP-G) (hCAP-G) (Melanoma antigen NY-MEL-3) (Non-SMC condensin I complex subunit G) (XCAP-G homolog)	NCAPG CAPG NYMEL3	Homo sapiens (Human)	1015
P63208	SKP1_HUMAN	reviewed	S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1)	SKP1 EMC19 OCP2 SKP1A TCEB1L	Homo sapiens (Human)	163
Q92643	GPI8_HUMAN	reviewed	GPI-anchor transamidase (GPI transamidase) (EC 3.-.-.-) (GPI8 homolog) (hGPI8) (Phosphatidylinositol-glycan biosynthesis class K protein) (PIG-K)	PIGK GPI8	Homo sapiens (Human)	395
Q9P287	BCCIP_HUMAN	reviewed	BRCA2 and CDKN1A-interacting protein (P21- and CDK-associated protein 1) (Protein TOK-1)	BCCIP TOK1	Homo sapiens (Human)	314
Q9UBT2	SAE2_HUMAN	reviewed	SUMO-activating enzyme subunit 2 (EC 6.3.2.-) (Anthracycline-associated resistance ARX) (Ubiquitin-like 1-activating enzyme E1B) (Ubiquitin-like modifier-activating enzyme 2)	UBA2 SAE2 UBLE1B HRIHFB2115	Homo sapiens (Human)	640
Q96S52	PIGS_HUMAN	reviewed	GPI transamidase component PIG-S (Phosphatidylinositol-glycan biosynthesis class S protein)	PIGS UNQ1873/PRO4316	Homo sapiens (Human)	555
P57054	PIGP_HUMAN	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (EC 2.4.1.198) (Down syndrome critical region protein 5) (Down syndrome critical region protein C) (Phosphatidylinositol-glycan biosynthesis class P protein) (PIG-P)	PIGP DCRC DSCR5 DSCRC NPD010	Homo sapiens (Human)	158
Q9NYH9	UTP6_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 6 homolog (Hepatocellular carcinoma-associated antigen 66) (Multiple hat domains protein)	UTP6 C17orf40 HCA66 MHAT	Homo sapiens (Human)	597
Q8IUR0	TPPC5_HUMAN	reviewed	Trafficking protein particle complex subunit 5	TRAPPC5	Homo sapiens (Human)	188
O43395	PRPF3_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	PRPF3 HPRP3 PRP3	Homo sapiens (Human)	683
Q9BRT9	SLD5_HUMAN	reviewed	"DNA replication complex GINS protein SLD5 (GINS complex subunit 4) [Cleaved into: DNA replication complex GINS protein SLD5, N-terminally processed]"	GINS4 SLD5	Homo sapiens (Human)	223
P25205	MCM3_HUMAN	reviewed	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102)	MCM3	Homo sapiens (Human)	808
P34949	MPI_HUMAN	reviewed	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	MPI PMI1	Homo sapiens (Human)	423
Q14562	DHX8_HUMAN	reviewed	ATP-dependent RNA helicase DHX8 (EC 3.6.4.13) (DEAH box protein 8) (RNA helicase HRH1)	DHX8 DDX8	Homo sapiens (Human)	1220
O43242	PSMD3_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	Homo sapiens (Human)	534
P23526	SAHH_HUMAN	reviewed	Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase)	AHCY SAHH	Homo sapiens (Human)	432
Q6R327	RICTR_HUMAN	reviewed	Rapamycin-insensitive companion of mTOR (AVO3 homolog) (hAVO3)	RICTOR KIAA1999	Homo sapiens (Human)	1708
O95478	NSA2_HUMAN	reviewed	Ribosome biogenesis protein NSA2 homolog (Hairy cell leukemia protein 1) (TGF-beta-inducible nuclear protein 1)	NSA2 TINP1 HUSSY-29	Homo sapiens (Human)	260
Q8NHQ9	DDX55_HUMAN	reviewed	ATP-dependent RNA helicase DDX55 (EC 3.6.4.13) (DEAD box protein 55)	DDX55 KIAA1595	Homo sapiens (Human)	600
Q9Y285	SYFA_HUMAN	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (CML33) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	FARSA FARS FARSL FARSLA	Homo sapiens (Human)	508
Q53GS9	SNUT2_HUMAN	reviewed	U4/U6.U5 tri-snRNP-associated protein 2 (Inactive ubiquitin-specific peptidase 39) (SAD1 homolog) (U4/U6.U5 tri-snRNP-associated 65 kDa protein) (65K)	USP39 CGI-21 HSPC332 PRO2855	Homo sapiens (Human)	565
P28070	PSB4_HUMAN	reviewed	Proteasome subunit beta type-4 (EC 3.4.25.1) (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)	PSMB4 PROS26	Homo sapiens (Human)	264
P48556	PSMD8_HUMAN	reviewed	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)	PSMD8	Homo sapiens (Human)	350
Q9H553	ALG2_HUMAN	reviewed	"Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)"	ALG2 UNQ666/PRO1298	Homo sapiens (Human)	416
P53384	NUBP1_HUMAN	reviewed	Cytosolic Fe-S cluster assembly factor NUBP1 (Nucleotide-binding protein 1) (NBP 1)	NUBP1 NBP NBP1	Homo sapiens (Human)	320
Q9NZ43	USE1_HUMAN	reviewed	Vesicle transport protein USE1 (Putative MAPK-activating protein PM26) (USE1-like protein) (p31)	USE1 USE1L MDS032	Homo sapiens (Human)	259
Q6RFH5	WDR74_HUMAN	reviewed	WD repeat-containing protein 74 (NOP seven-associated protein 1)	WDR74 NSA1	Homo sapiens (Human)	385
Q6PJT7	ZC3HE_HUMAN	reviewed	Zinc finger CCCH domain-containing protein 14 (Mammalian suppressor of tau pathology-2) (MSUT-2) (Renal carcinoma antigen NY-REN-37)	ZC3H14	Homo sapiens (Human)	736
Q9ULG1	INO80_HUMAN	reviewed	DNA helicase INO80 (hINO80) (EC 3.6.4.12) (INO80 complex subunit A) (Putative DNA helicase INO80 complex homolog 1)	INO80 INO80A INOC1 KIAA1259	Homo sapiens (Human)	1556
Q9Y2R4	DDX52_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX52 (EC 3.6.4.13) (ATP-dependent RNA helicase ROK1-like) (DEAD box protein 52)	DDX52 ROK1 HUSSY-19	Homo sapiens (Human)	599
Q14566	MCM6_HUMAN	reviewed	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)	MCM6	Homo sapiens (Human)	821
P55060	XPO2_HUMAN	reviewed	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	CSE1L CAS XPO2	Homo sapiens (Human)	971
P13984	T2FB_HUMAN	reviewed	General transcription factor IIF subunit 2 (EC 3.6.4.12) (ATP-dependent helicase GTF2F2) (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)	GTF2F2 RAP30	Homo sapiens (Human)	249
P55789	ALR_HUMAN	reviewed	FAD-linked sulfhydryl oxidase ALR (EC 1.8.3.2) (Augmenter of liver regeneration) (hERV1) (Hepatopoietin)	GFER ALR HERV1 HPO	Homo sapiens (Human)	205
Q96BW9	TAM41_HUMAN	reviewed	"Phosphatidate cytidylyltransferase, mitochondrial (EC 2.7.7.41) (CDP-diacylglycerol synthase) (CDP-DAG synthase) (Mitochondrial translocator assembly and maintenance protein 41 homolog) (TAM41)"	TAMM41 C3orf31	Homo sapiens (Human)	452
Q9Y5Q9	TF3C3_HUMAN	reviewed	General transcription factor 3C polypeptide 3 (Transcription factor IIIC 102 kDa subunit) (TFIIIC 102 kDa subunit) (TFIIIC102) (Transcription factor IIIC subunit gamma) (TF3C-gamma)	GTF3C3	Homo sapiens (Human)	886
Q8WWY3	PRP31_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31)	PRPF31 PRP31	Homo sapiens (Human)	499
Q9NQT4	EXOS5_HUMAN	reviewed	Exosome complex component RRP46 (Chronic myelogenous leukemia tumor antigen 28) (Exosome component 5) (Ribosomal RNA-processing protein 46) (p12B)	EXOSC5 CML28 RRP46	Homo sapiens (Human)	235
O00541	PESC_HUMAN	reviewed	Pescadillo homolog	PES1	Homo sapiens (Human)	588
Q9BSC4	NOL10_HUMAN	reviewed	Nucleolar protein 10	NOL10	Homo sapiens (Human)	688
Q92994	TF3B_HUMAN	reviewed	"Transcription factor IIIB 90 kDa subunit (TFIIIB90) (hTFIIIB90) (B-related factor 1) (BRF-1) (hBRF) (TAF3B2) (TATA box-binding protein-associated factor, RNA polymerase III, subunit 2)"	BRF1 BRF GTF3B TAF3B2 TAF3C	Homo sapiens (Human)	677
Q9HCG8	CWC22_HUMAN	reviewed	Pre-mRNA-splicing factor CWC22 homolog (Nucampholin homolog) (fSAPb)	CWC22 KIAA1604 NCM	Homo sapiens (Human)	908
Q10713	MPPA_HUMAN	reviewed	Mitochondrial-processing peptidase subunit alpha (EC 3.4.24.64) (Alpha-MPP) (P-55)	PMPCA INPP5E KIAA0123 MPPA	Homo sapiens (Human)	525
O75586	MED6_HUMAN	reviewed	Mediator of RNA polymerase II transcription subunit 6 (Activator-recruited cofactor 33 kDa component) (ARC33) (Mediator complex subunit 6) (hMed6) (Renal carcinoma antigen NY-REN-28)	MED6 ARC33	Homo sapiens (Human)	246
P78346	RPP30_HUMAN	reviewed	Ribonuclease P protein subunit p30 (RNaseP protein p30) (EC 3.1.26.5) (RNase P subunit 2)	RPP30 RNASEP2	Homo sapiens (Human)	268
Q9Y3D0	MIP18_HUMAN	reviewed	Mitotic spindle-associated MMXD complex subunit MIP18 (MSS19-interacting protein of 18 kDa) (Protein FAM96B)	FAM96B MIP18 CGI-128 HSPC118	Homo sapiens (Human)	163
Q9NV31	IMP3_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein IMP3 (U3 snoRNP protein IMP3) (BRMS2)	IMP3 C15orf12 MRPS4	Homo sapiens (Human)	184
Q9UJX2	CDC23_HUMAN	reviewed	Cell division cycle protein 23 homolog (Anaphase-promoting complex subunit 8) (APC8) (Cyclosome subunit 8)	CDC23 ANAPC8	Homo sapiens (Human)	597
Q8N122	RPTOR_HUMAN	reviewed	Regulatory-associated protein of mTOR (Raptor) (p150 target of rapamycin (TOR)-scaffold protein)	RPTOR KIAA1303 RAPTOR	Homo sapiens (Human)	1335
Q969N2	PIGT_HUMAN	reviewed	GPI transamidase component PIG-T (Phosphatidylinositol-glycan biosynthesis class T protein)	PIGT CGI-06 PSEC0163 UNQ716/PRO1379	Homo sapiens (Human)	578
P37268	FDFT_HUMAN	reviewed	Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase)	FDFT1	Homo sapiens (Human)	417
Q9Y5Y2	NUBP2_HUMAN	reviewed	Cytosolic Fe-S cluster assembly factor NUBP2 (Nucleotide-binding protein 2) (NBP 2)	NUBP2	Homo sapiens (Human)	271
P19387	RPB3_HUMAN	reviewed	DNA-directed RNA polymerase II subunit RPB3 (RNA polymerase II subunit 3) (RNA polymerase II subunit B3) (DNA-directed RNA polymerase II 33 kDa polypeptide) (RPB33) (DNA-directed RNA polymerase II subunit C) (RPB31)	POLR2C A-152E5.7	Homo sapiens (Human)	275
O43615	TIM44_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44 MIMT44 TIM44	Homo sapiens (Human)	452
Q9GZR1	SENP6_HUMAN	reviewed	Sentrin-specific protease 6 (EC 3.4.22.68) (SUMO-1-specific protease 1) (Sentrin/SUMO-specific protease SENP6)	SENP6 KIAA0797 SSP1 SUSP1 FKSG6	Homo sapiens (Human)	1112
Q969H0	FBXW7_HUMAN	reviewed	F-box/WD repeat-containing protein 7 (Archipelago homolog) (hAgo) (F-box and WD-40 domain-containing protein 7) (F-box protein FBX30) (SEL-10) (hCdc4)	FBXW7 FBW7 FBX30 SEL10	Homo sapiens (Human)	707
P08621	RU17_HUMAN	reviewed	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1	Homo sapiens (Human)	437
Q68CQ4	DIEXF_HUMAN	reviewed	Digestive organ expansion factor homolog	DIEXF C1orf107 DEF	Homo sapiens (Human)	756
P19447	ERCC3_HUMAN	reviewed	TFIIH basal transcription factor complex helicase XPB subunit (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)	ERCC3 XPB XPBC	Homo sapiens (Human)	782
P49642	PRI1_HUMAN	reviewed	DNA primase small subunit (EC 2.7.7.-) (DNA primase 49 kDa subunit) (p49)	PRIM1	Homo sapiens (Human)	420
P50990	TCPQ_HUMAN	reviewed	T-complex protein 1 subunit theta (TCP-1-theta) (CCT-theta) (Renal carcinoma antigen NY-REN-15)	CCT8 C21orf112 CCTQ KIAA0002	Homo sapiens (Human)	548
Q86U38	NOP9_HUMAN	reviewed	Nucleolar protein 9	NOP9 C14orf21 KIAA2021	Homo sapiens (Human)	636
P49368	TCPG_HUMAN	reviewed	T-complex protein 1 subunit gamma (TCP-1-gamma) (CCT-gamma) (hTRiC5)	CCT3 CCTG TRIC5	Homo sapiens (Human)	545
Q9Y248	PSF2_HUMAN	reviewed	DNA replication complex GINS protein PSF2 (GINS complex subunit 2)	GINS2 PSF2 CGI-122 DC5 HSPC037	Homo sapiens (Human)	185
Q9H583	HEAT1_HUMAN	reviewed	"HEAT repeat-containing protein 1 (Protein BAP28) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]"	HEATR1 BAP28	Homo sapiens (Human)	2144
Q96FX7	TRM61_HUMAN	reviewed	tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A (EC 2.1.1.220) (tRNA(m1A58)-methyltransferase subunit TRMT61A) (tRNA(m1A58)MTase subunit TRMT61A)	TRMT61A C14orf172 TRM61	Homo sapiens (Human)	289
P14324	FPPS_HUMAN	reviewed	"Farnesyl pyrophosphate synthase (FPP synthase) (FPS) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Geranyltranstransferase)"	FDPS FPS KIAA1293	Homo sapiens (Human)	419
O00566	MPP10_HUMAN	reviewed	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	Homo sapiens (Human)	681
Q9H3S5	PIGM_HUMAN	reviewed	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M)	PIGM	Homo sapiens (Human)	423
P48643	TCPE_HUMAN	reviewed	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	CCT5 CCTE KIAA0098	Homo sapiens (Human)	541
P35249	RFC4_HUMAN	reviewed	Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)	RFC4	Homo sapiens (Human)	363
Q9HCN4	GPN1_HUMAN	reviewed	GPN-loop GTPase 1 (EC 3.6.5.-) (MBD2-interacting protein) (MBDin) (RNAPII-associated protein 4) (XPA-binding protein 1)	GPN1 MBDIN RPAP4 XAB1 HUSSY-23	Homo sapiens (Human)	374
Q7Z6J8	UBE3D_HUMAN	reviewed	E3 ubiquitin-protein ligase E3D (EC 6.3.2.-) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein)	UBE3D C6orf157 H10BH UBE2CBP	Homo sapiens (Human)	389
Q6UXN9	WDR82_HUMAN	reviewed	WD repeat-containing protein 82 (Protein TMEM113) (Swd2)	WDR82 TMEM113 WDR82A UNQ9342/PRO34047	Homo sapiens (Human)	313
P49354	FNTA_HUMAN	reviewed	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58) (EC 2.5.1.59) (CAAX farnesyltransferase subunit alpha) (FTase-alpha) (Ras proteins prenyltransferase subunit alpha) (Type I protein geranyl-geranyltransferase subunit alpha) (GGTase-I-alpha)	FNTA	Homo sapiens (Human)	379
Q13042	CDC16_HUMAN	reviewed	Cell division cycle protein 16 homolog (Anaphase-promoting complex subunit 6) (APC6) (CDC16 homolog) (CDC16Hs) (Cyclosome subunit 6)	CDC16 ANAPC6	Homo sapiens (Human)	620
P49643	PRI2_HUMAN	reviewed	DNA primase large subunit (EC 2.7.7.-) (DNA primase 58 kDa subunit) (p58)	PRIM2 PRIM2A	Homo sapiens (Human)	509
O75683	SURF6_HUMAN	reviewed	Surfeit locus protein 6	SURF6 SURF-6	Homo sapiens (Human)	361
Q9BW85	CCD94_HUMAN	reviewed	Coiled-coil domain-containing protein 94	CCDC94	Homo sapiens (Human)	323
Q9Y3A2	UTP11_HUMAN	reviewed	Probable U3 small nucleolar RNA-associated protein 11 (U3 snoRNA-associated protein 11) (UTP11-like protein)	UTP11L CGI-94 HDCMB12P	Homo sapiens (Human)	253
Q9NYV6	RRN3_HUMAN	reviewed	RNA polymerase I-specific transcription initiation factor RRN3 (Transcription initiation factor IA) (TIF-IA)	RRN3 TIFIA	Homo sapiens (Human)	651
Q9Y5M8	SRPRB_HUMAN	reviewed	Signal recognition particle receptor subunit beta (SR-beta) (Protein APMCF1)	SRPRB PSEC0230	Homo sapiens (Human)	271
O95427	PIGN_HUMAN	reviewed	GPI ethanolamine phosphate transferase 1 (EC 2.-.-.-) (MCD4 homolog) (Phosphatidylinositol-glycan biosynthesis class N protein) (PIG-N)	PIGN MCD4	Homo sapiens (Human)	931
O14561	ACPM_HUMAN	reviewed	"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)"	NDUFAB1	Homo sapiens (Human)	156
P29084	T2EB_HUMAN	reviewed	Transcription initiation factor IIE subunit beta (TFIIE-beta) (General transcription factor IIE subunit 2)	GTF2E2 TF2E2	Homo sapiens (Human)	291
Q9Y4W2	LAS1L_HUMAN	reviewed	Ribosomal biogenesis protein LAS1L (Protein LAS1 homolog)	LAS1L MSTP060	Homo sapiens (Human)	734
Q92620	PRP16_HUMAN	reviewed	Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (EC 3.6.4.13) (ATP-dependent RNA helicase DHX38) (DEAH box protein 38)	DHX38 DDX38 KIAA0224 PRP16	Homo sapiens (Human)	1227
Q9NV06	DCA13_HUMAN	reviewed	DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1)	DCAF13 WDSOF1 HSPC064	Homo sapiens (Human)	445
P14868	SYDC_HUMAN	reviewed	"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Cell proliferation-inducing gene 40 protein)"	DARS PIG40	Homo sapiens (Human)	501
O15381	NVL_HUMAN	reviewed	Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein)	NVL	Homo sapiens (Human)	856
Q9UMS4	PRP19_HUMAN	reviewed	Pre-mRNA-processing factor 19 (EC 6.3.2.-) (Nuclear matrix protein 200) (PRP19/PSO4 homolog) (hPso4) (Senescence evasion factor)	PRPF19 NMP200 PRP19 SNEV	Homo sapiens (Human)	504
Q9UHA3	RLP24_HUMAN	reviewed	Probable ribosome biogenesis protein RLP24 (Ribosomal L24 domain-containing protein 1) (Ribosomal protein L24-like)	RSL24D1 C15orf15 RPL24L My024	Homo sapiens (Human)	163
Q9NSD9	SYFB_HUMAN	reviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	FARSB FARSLB FRSB HSPC173	Homo sapiens (Human)	589
P61009	SPCS3_HUMAN	reviewed	Signal peptidase complex subunit 3 (EC 3.4.-.-) (Microsomal signal peptidase 22/23 kDa subunit) (SPC22/23) (SPase 22/23 kDa subunit)	SPCS3 SPC22 UNQ1841/PRO3567	Homo sapiens (Human)	180
O75419	CDC45_HUMAN	reviewed	Cell division control protein 45 homolog (PORC-PI-1)	CDC45 CDC45L CDC45L2 UNQ374/PRO710	Homo sapiens (Human)	566
Q8NCE0	SEN2_HUMAN	reviewed	tRNA-splicing endonuclease subunit Sen2 (EC 4.6.1.16) (tRNA-intron endonuclease Sen2) (HsSen2)	TSEN2 SEN2	Homo sapiens (Human)	465
Q9P2I0	CPSF2_HUMAN	reviewed	Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit)	CPSF2 CPSF100 KIAA1367	Homo sapiens (Human)	782
Q15637	SF01_HUMAN	reviewed	Splicing factor 1 (Mammalian branch point-binding protein) (BBP) (mBBP) (Transcription factor ZFM1) (Zinc finger gene in MEN1 locus) (Zinc finger protein 162)	SF1 ZFM1 ZNF162	Homo sapiens (Human)	639
Q9UJX6	ANC2_HUMAN	reviewed	Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2)	ANAPC2 APC2 KIAA1406	Homo sapiens (Human)	822
Q9UNX4	WDR3_HUMAN	reviewed	WD repeat-containing protein 3	WDR3	Homo sapiens (Human)	943
O00471	EXOC5_HUMAN	reviewed	Exocyst complex component 5 (Exocyst complex component Sec10) (hSec10)	EXOC5 SEC10 SEC10L1	Homo sapiens (Human)	708
O60832	DKC1_HUMAN	reviewed	H/ACA ribonucleoprotein complex subunit 4 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514
Q13610	PWP1_HUMAN	reviewed	Periodic tryptophan protein 1 homolog (Keratinocyte protein IEF SSP 9502)	PWP1	Homo sapiens (Human)	501
O00567	NOP56_HUMAN	reviewed	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594
P33992	MCM5_HUMAN	reviewed	DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46)	MCM5 CDC46	Homo sapiens (Human)	734
Q8NI36	WDR36_HUMAN	reviewed	WD repeat-containing protein 36 (T-cell activation WD repeat-containing protein) (TA-WDRP)	WDR36	Homo sapiens (Human)	951
Q9UBB9	TFP11_HUMAN	reviewed	Tuftelin-interacting protein 11 (Septin and tuftelin-interacting protein 1) (STIP-1)	TFIP11 STIP HSPC006	Homo sapiens (Human)	837
